1,4053015,40-Inch 1080p LED TV ,Electronics,185,150
2,2354123,A Killer's Mind,Books,5,6510
3,3070,"Klipsch 11.2 Dolby Atmos Home Theater System with RP-280F Tower Speakers, 450C Center, R-115 Subwoofers, 250s Surround, CDT-5800CII Ceiling, with Yamaha RX-A3070 Receiver",Electronics,3000,3
4,1126454,"Mega Value Finish Dishwasher Freshener, 220 washes, Citrus Lemon Lime Scent, Pack of 4, 0.17 fl oz / 5ml",Home_goods,8,51564
5,55645465,Amazon Echo Show,Electronics,230,153
6,4654,Perfect Keto Chocolate Protein Powder,Health,37,535
7,5465,TaylorMade Mens RBZ Black,Sporting Goods,230,2
8,56541,BenShot wiskey glass,kitchen,5,65
9,5611,Rogain ,Beauty ,27,123
10,561165,Nintendo Switch,Electronics,350,150
